Adress_agence,CodePostal_agence,Non_agence,Pays,Price,Tel_agence,Titre_annonce,Ville,m2_total,url
 Marbella ,, ANDALUCIA.FR,Spain,"€ 830,000",34684458333,Seaside apartment,Marbella ,144,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/11556251/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 4,800,000",34684458333,Seaside villa with pool,Marbella ,675,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11555930/
 14 rue de Bretagne 75003 Paris 3rd ,75003, 20000 LIEUX,Italy,"€ 360,000",636954075,Villa with pool and terrace,Monopoli ,90,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/11960221/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,200,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/11582530/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 3,300,000",34684458333,Apartment with terrace and pool,Marbella ,315,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/11556257/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,,+212 (0)5 24 43 32 00,Riad,Marrakesh ,280,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/11587155/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 949,000",34684458333,Seaside apartment with pool,Marbella ,199,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/11556401/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 17,500,000",34684458333,Seaside villa with pool,Marbella ,2491,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11556009/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 780,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,680,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/11582529/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 750,000",+212 (0)5 24 43 32 00,Apartment with terrace,Marrakesh ,380,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-morocco/11431299/
 76 rue de MerlLuxembourg ,, ESPACE IMMO,Luxembourg,"€ 1,485,925",35226430385,Apartment with terrace,Luxembourg City ,125,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-lux/11622331/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 630,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,500,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/11587154/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 4,000,000",+212 (0)5 24 43 32 00,House,Marrakesh ,700,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/11593330/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 850,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/10922018/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 230,000",+212 (0)5 24 43 32 00,Apartment with terrace,Marrakesh ,135,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-morocco/11436112/
 76 rue de MerlLuxembourg ,, ESPACE IMMO,Luxembourg,"€ 1,323,594",35226430385,Apartment with terrace,Luxembourg City ,110,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-lux/11622317/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,,+212 (0)5 24 43 32 00,House,Marrakesh ,640,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/11626434/
 76 rue de MerlLuxembourg ,, ESPACE IMMO,Luxembourg,"€ 1,696,000",26 43 03 85,Apartment,Luxembourg City ,103,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-lux/11605822/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,"€ 1,900,000",00 39 041 5220093,Apartment,Venice ,2,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/10995709/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,,+212 (0)5 24 43 32 00,Riad,Marrakesh ,1000,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/10839357/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 2,500,000",34952863750,Contemporary apartment with terrace and pool,Marbella ,231,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/11165756/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 2,950,000",34952863750,Seaside villa with pool,Marbella ,816,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11166086/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 780,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,240,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/10996780/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 1,650,000",351 274 67 27 30,Bastide,Evora ,280650,https://properties.lefigaro.com/announces/bastide-real+estate-properties+for+sale-portugal/10040776/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 1,750,000",351 274 67 27 30,Villa with pool and terrace,Leiria ,10245,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/10040808/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 2,995,000",34952863750,Villa,Marbella ,513,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11166168/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 490,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,700,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/10040600/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 3,300,000",34952863750,Apartment with terrace and pool,Marbella ,443,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/11166284/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 850,000",351 274 67 27 30,Farm house,Santarém District ,20000,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10206692/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 1,850,000",351 274 67 27 30,Hotel with garden,Evora ,14750,https://properties.lefigaro.com/announces/hotel-real+estate-properties+for+sale-portugal/10070530/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 1,750,000",351 274 67 27 30,Farm house with garden and pool,Santarém District ,16000,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10042256/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 550,000",+212 (0)5 24 43 32 00,House,Marrakesh ,400,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/10395384/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 800,000",351 274 67 27 30,Farm house with garden and pool,Evora ,16640,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10025090/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 5,000,000",+212 (0)5 24 43 32 00,House,Marrakesh ,1000,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/10409760/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,700,000",+212 (0)5 24 43 32 00,House,Marrakesh ,1400,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/10687358/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 220,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,190,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/10732315/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 2,200,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,1100,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/10324706/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 800,000",351 274 67 27 30,Farm house with garden and pool,Setúbal ,21700,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10114426/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 2,850,000",351 274 67 27 30,Villa,Santarém District ,20000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/10206428/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 2,350,000",34952863750,Villa with pool and garden,Marbella ,717,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/10832635/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,,+212 (0)5 24 43 32 00,Villa,Marrakesh ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/10395386/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 475,000",351 274 67 27 30,Farm house with garden and pool,Santarém District ,319,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10783499/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 15,000,000",351 274 67 27 30,Seaside property,Faro ,7030000,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/10394544/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 2,000,000",34952863750,Apartment with terrace and pool,Marbella ,441,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/10832500/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 1,531,500",351 274 67 27 30,Ground ,Lisbon ,1532,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/10040784/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,,00 39 041 5220093,Apartment,Venice ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/9235650/
 Edificio Centro Expo s/nAv. Bulevar Príncipe Alfonso de HohenlohMarbella ,, PANORAMA,Spain,"€ 2,350,000",34952863750,Seaside villa with pool,Marbella ,787,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11165670/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 750,000",351 274 67 27 30,Farm house with outbuildings and garden,Evora ,7,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10720479/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 995,000",351 274 67 27 30,Farm house,Portalegre ,465,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/10753797/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,,00 39 041 5220093,Apartment,Venise ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/9235670/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,300,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/9357180/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 2,300,000",+212 (0)5 24 43 32 00,House,Marrakesh ,800,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/9627370/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 536,000",+212 (0)5 24 43 32 00,House,Marrakesh ,284,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/8454440/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,500,000",+212 (0)5 24 43 32 00,House,Marrakesh ,600,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/8440840/
,, EMILE GARCIN - BRUXELLES,Belgiu,,00 32 04 96 53 43 79,Property,Belgium,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-belgium/81305547/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 2,590,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,1200,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/8674140/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 980,000",+212 (0)5 24 43 32 00,House,Marrakesh ,400,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/8440800/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,500,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/8440810/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,570,000",+212 (0)5 24 43 32 00,House,Marrakesh ,384,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/8440830/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 360,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,290,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/8832720/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,000,000",+212 (0)5 24 43 32 00,House,Marrakesh ,300,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/8440850/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 750,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,510,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/8440910/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 730,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,690,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/8440890/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,387,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,420,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/8440870/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,,00 39 041 5220093,Apartment,Venise ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/11159581/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 3,600,000",34684458333,Villa with pool,Marbella ,5,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11556265/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 1,599,000",34684458333,Villa with pool and terrace,Mijas ,461,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/11649146/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 3,100,000",+212 (0)5 24 43 32 00,House,Marrakesh ,700,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/11185425/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 780,000",351 274 67 27 30,House,Porto ,420,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/11305712/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,618,000",+212 (0)5 24 43 32 00,House,Marrakesh ,650,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/11179590/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,100,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,400,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/9038550/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,800,000",+212 (0)5 24 43 32 00,House,Marrakesh ,750,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/11192253/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 6,000,000",351 274 67 27 30,Manoir,Portalegre ,91200,https://properties.lefigaro.com/announces/manoir-real+estate-properties+for+sale-portugal/9995440/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,,00 39 041 5220093,Apartment,Lido ,4,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/10922280/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,,351 274 67 27 30,Property,Evora ,170000,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/11199007/
 Monterey12-14 Klaassens RoadBishopscourtGrandbaie ,, PAM GOLDING PROPERTIES,Mauritius,"€ 787,000",021 762 2617,Property,Grand Baie ,198,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-mauritius/11268579/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 900,000",351 274 67 27 30,Villa,Porto ,11,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/11413904/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,,00 39 041 5220093,Apartment,Venice ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/11987738/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 680,000",+212 (0)5 24 43 32 00,Riad,Marrakesh ,450,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/11336412/
 San Marco 3911Venise ,3911, VENICE SOTHEBY'S REALTY,Italy,,00 39 041 5220093,Apartment,Venise ,370,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/11987665/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 12,000,000",351282353019,Ground ,Albufeira ,19922,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12169834/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,,+212 (0)5 24 43 32 00,Villa,Marrakesh ,1500,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/8522930/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 450,000",351282353019,Apartment,Loulé ,130,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12169838/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 450,000",351282353019,Apartment,Loulé ,151,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12169845/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 295,000",351282353019,Apartment,Lagos ,98,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12169866/
" 66, avenue des Champs Elysées 75008 Paris 8th ",75008, IMMO BEST INTERNATIONAL,Morocco,"€ 4,500,000",+33 6 98 26 80 00,Riad,Marrakesh ,,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/10775786/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,400,000",351282353019,Villa,Lagoa ,250,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170165/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 2,300,000",+212 (0)5 24 43 32 00,House,Marrakesh ,1000,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/10743466/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,025,000",351282353019,Villa,Monchique ,2000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170174/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 525,000",351282353019,Villa,Silves ,158,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12169841/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 600,000",351282353019,Ground ,Loulé ,6100,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170175/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 475,000",351282353019,Apartment,Loulé ,151,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12169833/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,150,000",351282353019,Villa,Silves ,360,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12169831/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,350,000",351282353019,Villa,Portimão ,300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170187/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,200,000",351282353019,Ground ,Portimão ,13280,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170166/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 2,950,000",351282353019,Villa,Loulé ,506,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12169846/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,200,000",351282353019,Villa,Lagos ,315,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170227/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 840,000",351282353019,Villa,Portimão ,406,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170248/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 650,000",351282353019,Ground ,Lagoa ,36100,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170234/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,500,000",351282353019,Villa,Portimão ,706,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170168/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 475,000",351282353019,Ground ,Lagos ,1000,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170254/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,600,000",351282353019,Ground ,Loulé ,2625,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170186/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 2,500,000",351282353019,Villa,Lagos ,358,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170271/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 990,000",351282353019,Villa,Lagoa ,450,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170242/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 4,300,000",351282353019,Ground ,Albufeira ,8008,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12188919/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,200,000",351282353019,Ground ,Lagos ,400,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12188920/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,680,000",351282353019,Villa,Loulé ,350,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170260/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 2,900,000",351282353019,Villa,Loulé ,758,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170239/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 4,900,000",351282353019,Villa,Albufeira ,498,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170262/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 5,000,000",+212 (0)5 24 43 32 00,House,Marrakesh ,1100,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/12211752/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 995,000",351282353019,Villa,Lagos ,697,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170279/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,650,000",351282353019,Villa,Lagoa ,414,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12264395/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,380,000",351282353019,Villa,Loulé ,553,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170274/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,500,000",351282353019,Ground ,Loulé ,1300,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12284242/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 600,000",351282353019,Ground ,São Brás de Alportel ,4100,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170026/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,075,000",351282353019,Villa,Lagos ,200,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170285/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,,+212 (0)5 24 43 32 00,House,Marrakesh ,500,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-morocco/12288954/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,200,000",351282353019,Villa,Lagos ,300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170297/
